m_id,m_name
1,Mick Jagger
2,Keith Richards
3,Thom Yorke
4,Jonny Greenwood
5,Stevie Nicks
6,Lindsey Buckingham
7,Alex Turner
8,Kevin Parker
9,Roger Waters
10,David Gilmour
11,John Lennon
12,Paul McCartney
13,Jimmy Page
14,Robert Plant
15,Kurt Cobain
16,Thomas Bangalter
17,Guy-Manuel de Homem-Christo
18,Kerry Livgren
19,Axl Rose
20,Slash
21,Bono
22,Tom Scholz
23,Baden Donegal
24,Dave Grohl
25,Vince Neil
26,Don Henley
27,Nick Hexum
28,Steve Miller
29,Freddie Mercury
30,Dan McCafferty
31,Steve Perry
32,Brandon Boyd
33,Bradley Nowell
34,Eddie Vedder
35,Rivers Cuomo
36,Mac DeMarco
37,Anthony Kiedis
38,Daniel Caesar
39,Dylan Frost
40,Jerry Cantrell
41,Thundercat
42,Morrissey
43,Chris Martin
44,Chris Cornell
45,Luke Steele
46,Mac Miller
47,Kid Cudi
48,Michael Jackson
49,Andre 3000
50,Big Boi
